"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0.5","1","1.5","1.5","1.5","",
"Africa Eastern and Southern","AFE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","380","410","360","380","430","399","370","360","317","293","240","220","172","192","203","219","247","261","334","402","460","533","677","939","1605","2188","3204","4012","4776","7349","17807","36758","36072","32830","41472","56925","65406","59362","62780","58877","74253","109941","150169","140493","114076","121123.15","152718.7","182641.2","210115.85","227551.95","282240.24","298146.56","340581.32","319288.66","362192.01","415806.08","358921.36","365458.89","347459.92","358057","388256.28","410243.65","",
"Afghanistan","AFG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","60","60","60","60","60","60","60","170","170","170","170","170","170","170","170","170","170","170","170","170","170","300","300","300","300","300","300","300","300","300","300","300","450","450","450","450","450","450","1050","1050","1650","2250","2850","3480","4110","4760","5450","6150","7000","7950","8629","9444","11107","",
"Africa Western and Central","AFW","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","2005","2173","2361","2547","2730","2904","3088","3275","3454","3659","4003","4215","4525","4775","4909","5130","5402","5748","5999","6234","6588","6878","7250","7618","7827","8933","6572","7103","11857","26943","8425","16565","18654","18757","16440","18244","21783","25696","23779","26917","32940","32564","39341","34395","47659","60807","90503","92700","153283","165031","217096.6","248594.87","289516.8","321637.85","363662","377775.16","379092.63","374421.26","393053.74","371991.3","356453.65","399490.5","",
"Angola","AGO","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","51","72","92","126","156","190","190","260","310","310","310","57","305","872","655","1339","1762","1934","2062","2808","",
"Albania","ALB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","3","45","85","123","164","193","260","339","455","699","1162","1197","1208","2165","2368","3732","2604","4961","859","397","389","395","340","323","97","124","310","307","286","860","1473","1569","1473","2057","2092","2000","2317","2520","2345","3450","3700","4000","3495","4750","4430","6258","6300","9084","8641","",
"Andorra","AND","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","4600","5200","5200","6000","7000","6200","5904","5610","5617","5928","6046","7145","8556","10067","10873","11396","13900","16233","18554","20830","23325","25837","29390","30877","34269","49929","53736","54769","62285","69066","70522","70649","78320","65086","70944","87973","109249","105662","165476","246418","360829","364763","398297","476490","514596.4","590726","643697","688843.4","756494.12","771354.48","987772.06","1043089.19","1084942.22","1150204.75","1215580.99","1259586.29","1474092.96","1539030.57","1739351.12","1789687.92","1765542.78","1767061.18","",
"United Arab Emirates","ARE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","7","9","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2300","570","590","610","644","1343","130","198","415","420","780","788","790","2684.9","3255","3230","3240","3047.78","2662.94","",
"Argentina","ARG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","1","2","4","5","5","8","11","15","19","23","27","31","36","42","49","57","67","78","90","105","123","143","150","270","270","353","353","300","300","350","402","707","763","1474","1322","1314","1040","1218","1784","1340","1457","1647","1848","2057","2528","2957","2700","2582.95","2654.35","3193.25","2958.42","3825.12","4002.71","3662.65","3673.48","3567.76","3205.31","2592.19","2084.5","3687","",
