Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,ALB,310.00,307.00,286.00,860.00,"1,473.00","1,569.00","1,473.00","2,057.00","2,092.00","2,000.00","2,317.00","2,520.00","2,345.00","3,450.00","3,700.00","4,000.00","3,495.00","4,750.00","4,430.00","6,258.00","6,300.00"
Algeria,DZA,250.00,351.00,454.00,476.00,417.00,586.00,368.00,288.00,405.00,"2,779.91","2,163.23","1,758.75","2,245.77","2,644.00","2,192.75","2,479.89","1,332.29","1,959.59","4,467.31","5,108.42","4,835.47"
Angola,AGO,0.00,5.00,11.00,51.00,72.00,92.00,126.00,156.00,190.00,190.00,260.00,310.00,310.00,310.00,57.00,305.00,872.00,655.00,"1,339.00","1,762.00","1,934.00"
Antigua and Barbuda,ATG,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,8.00,8.00,8.00,12.00,18.00,19.00,21.00,20.00,20.00,20.00,20.00,20.00
Argentina,ARG,"1,218.00","1,784.00","1,340.00","1,457.00","1,647.00","1,848.00","2,057.00","2,528.00","2,957.00","2,700.00","2,582.95","2,654.35","3,193.25","2,958.42","3,825.12","4,002.71","3,662.65","3,673.48","3,567.76","3,205.31","2,592.19"
Armenia,ARM,889.00,893.00,"1,331.00","1,020.00","1,064.00",813.00,739.00,"1,056.00","3,650.00","5,100.00","5,240.00","5,000.00","6,300.00","8,850.00","11,700.00","13,925.00","15,130.00","16,381.00","16,690.00","17,000.00","17,560.00"
Aruba,ABW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.50
Australia,AUS,"29,601.00","32,083.00","35,883.00","38,908.04","39,927.40","45,083.00","44,852.00","51,649.48","57,936.12","60,804.08","71,672.16","75,678.85","76,662.49","81,832.82","80,061.47","73,177.49","83,074.90","91,596.90","85,335.49","96,131.70","90,879.89"
Austria,AUT,"3,067.00","2,847.00","2,393.00","2,333.00","2,233.00","2,267.00","2,420.00","2,503.00","2,539.00","2,087.00","2,141.00","2,167.00","2,904.30","3,125.50","3,237.00","3,390.30","3,503.40","3,483.40","3,861.90","3,991.60","4,255.04"
Azerbaijan,AZE,216.00,140.00,95.00,80.00,130.00,350.00,500.00,600.00,900.00,"1,000.00","1,000.00","1,000.00",517.00,366.10,325.00,305.00,561.00,640.00,695.00,478.00,531.40
Bahamas,BHS,1.00,2.00,13.00,25.00,52.00,30.00,85.00,52.00,30.00,20.00,17.00,1.00,1.00,1.00,1.00,9.35,9.33,9.00,6.00,6.84,6.00
Bahrain,BHR,3.00,12.00,0.00,3.00,4.00,8.00,3.00,2.00,1.00,2.00,2.00,3.19,3.42,1.72,0.00,5.70,6.00,14.21,10.50,10.50,10.50
Bangladesh,BGD,"593,202.00","657,120.00","712,640.00","786,604.00","856,956.00","914,752.00","882,091.00","892,049.00","945,812.00","1,005,542.00","1,064,285.00","1,308,515.00","1,523,759.00","1,726,066.00","1,859,808.00","1,956,925.00","2,060,408.00","2,203,554.00","2,333,352.00","2,405,416.00","2,488,600.00"
Barbados,BRB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,10.50,10.50,14.50,20.50,20.50,25.50,25.50,25.50,25.50
Belarus,BLR,"4,824.00","6,716.00","4,666.00","6,523.00","5,393.00","4,150.00","5,648.00","8,406.00","14,091.00","14,636.00","15,659.00","16,265.00","16,293.00","15,499.00","13,548.00","10,658.00","9,130.90","11,199.00","10,353.50","11,580.90","9,590.70"
Belgium,BEL,"1,597.00","1,871.00","1,830.00","1,834.00","1,261.00",739.00,414.00,128.00,128.00,126.00,576.00,539.00,101.00,277.00,212.00,214.00,82.00,44.00,75.00,111.00,86.00
Belize,BLZ,"3,163.00","3,630.00","4,460.00","4,400.00","10,160.00","11,426.00","11,078.00","7,624.00","3,172.00","4,528.00","5,725.00","7,410.70","5,102.00","5,879.60","7,150.00","7,212.76","4,203.00","1,148.00",563.00,574.00,575.00
Benin,BEN,0.00,0.00,0.00,7.00,7.00,7.00,350.00,415.00,298.00,333.00,428.00,484.00,520.00,620.00,787.00,"1,545.00","4,579.66","4,327.00","4,649.66","5,264.14","5,892.45"
Bhutan,BTN,30.00,30.00,30.00,30.00,30.00,40.00,40.00,40.00,40.00,46.00,46.00,46.00,75.00,78.34,69.80,139.00,149.00,185.00,222.00,223.62,209.27
Bolivia,BOL,398.00,405.00,320.00,418.00,375.00,450.00,430.00,455.00,585.00,631.00,775.00,856.00,966.00,"1,060.00","1,076.00","1,400.00","3,167.50","3,430.00","3,680.00","3,750.00","3,825.00"
Bosnia and Herzegovina,BIH,0.00,0.00,0.00,"4,685.00","6,635.00","6,394.00","7,070.00","7,621.00","7,442.00","7,589.00","7,620.00","7,620.00","4,970.20","3,638.30","2,923.50","3,397.00","4,450.60","4,563.60","3,760.40","3,638.80","3,957.40"
Botswana,BWA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,15.00,20.00,25.00,35.00
Brazil,BRA,"140,657.00","172,450.00","205,568.00","247,678.00","273,268.00","269,699.00","257,784.00","271,697.00","289,048.00","331,553.00","365,127.00","411,777.00","436,084.00","480,880.00","477,634.46","564,221.57","578,372.92","542,982.01","565,196.44","581,637.72","600,600.10"
Brunei Darussalam,BRN,194.00,113.00,99.00,157.00,160.00,709.00,454.00,475.00,622.00,473.00,433.00,499.98,530.00,550.00,560.85,711.07,983.14,947.63,"1,632.00","1,245.99",933.18
Bulgaria,BGR,"7,780.00","3,654.00","2,938.00","2,308.00","4,465.00","2,489.00","3,145.00","3,257.00","4,032.00","5,157.00","6,722.52","7,920.63","5,527.15","5,975.06","12,151.65","11,171.79","13,536.54","15,762.16","15,752.14","16,341.82","16,513.59"
Burkina Faso,BFA,25.00,5.00,5.00,5.00,5.00,5.00,65.00,250.00,348.00,475.00,275.00,280.00,300.00,302.00,240.00,236.00,236.00,336.00,417.00,453.00,600.00
Burundi,BDI,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,17.30,61.70,160.40,385.00,805.00,"1,326.00","1,400.00","1,470.00","1,550.00","1,555.00"
Cabo Verde,CPV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
Cambodia,KHM,"15,000.00","14,430.00","17,500.00","18,250.00","26,300.00","37,515.00","44,000.00","41,010.00","35,260.00","40,000.00","50,000.00","60,000.00","72,000.00","74,000.00","90,000.00","120,055.00","145,000.00","172,500.00","207,500.00","254,050.00","307,408.00"
Cameroon,CMR,67.00,50.00,150.00,330.00,385.00,395.00,402.00,435.00,546.00,546.00,546.00,570.00,571.00,840.00,"1,195.00","1,575.00","1,955.00","2,315.00","3,847.00","5,500.00","6,900.00"
Canada,CAN,"112,916.00","127,665.00","153,046.00","172,046.00","167,798.00","145,018.00","154,587.00","171,629.00","152,486.00","155,549.00","155,928.00","162,341.00","169,706.00","184,910.00","168,015.00","139,732.00","187,374.00","200,765.00","191,616.00","191,373.00","187,226.00"
Central African Republic,CAF,117.00,120.00,125.00,125.00,125.00,125.00,125.00,140.00,140.00,140.00,140.00,170.00,170.00,182.00,195.00,195.00,195.00,195.00,195.00,209.00,209.00
Chad,TCD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,30.00,30.00,60.00,60.00,154.00,94.00,105.00,105.00,105.00
Chile,CHL,"305,494.00","425,058.00","631,634.00","617,303.00","607,338.00","696,157.00","739,368.00","832,329.00","806,166.00","870,845.00","881,084.00","713,241.00","969,539.00","1,075,547.00","1,045,718.00","1,227,359.00","1,057,742.00","1,050,117.00","1,219,747.10","1,287,232.58","1,407,289.00"
China,CHN,"28,000,956.00","29,749,708.00","31,102,502.00","33,160,273.00","34,891,716.00","37,172,411.00","38,943,267.00","40,911,091.49","42,530,160.30","44,072,886.73","46,062,875.71","47,789,756.78","49,147,606.10","52,082,585.66","55,029,057.76","57,320,503.73","59,368,941.59","62,318,377.86","64,358,480.81","66,135,059.34","68,423,858.99"
Colombia,COL,"52,947.00","61,786.00","57,660.00","57,160.00","60,895.00","60,072.00","61,000.00","70,132.00","66,565.00","68,200.00","80,623.00","80,367.00","83,681.00","89,654.00","89,398.00","92,002.00","95,857.00","106,685.00","118,485.00","132,756.22","171,025.45"
Congo,COG,190.00,66.00,64.00,68.00,69.00,72.00,80.00,21.00,25.00,215.00,243.00,285.00,335.00,405.00,465.00,520.00,579.00,643.00,692.00,640.00,731.00
Congo,COD,"1,993.00","2,076.00","2,744.00","2,965.00","2,965.00","2,965.00","3,015.00","3,020.00","3,020.50","3,025.00","3,025.00","3,025.00","3,030.00","2,929.00","2,921.00","2,921.00","3,007.00","3,226.00","3,580.00","3,880.00","4,290.00"
Costa Rica,CRI,"9,324.00","9,708.00","10,520.00","17,892.00","20,546.00","24,708.00","24,038.00","19,962.00","25,765.00","27,059.00","24,754.30","26,839.00","27,713.50","27,287.00","30,352.00","26,765.50","23,559.50","22,212.00","21,124.00","21,955.00","22,046.00"
Cote d'Ivoire,CIV,"1,000.00","1,197.00","1,025.00",806.00,866.00,866.00,866.00,866.00,"1,290.00","1,290.00","1,340.00","1,700.00","3,394.00","3,720.00","3,720.00","3,750.00","4,000.00","4,392.00","4,500.00","4,700.00","5,020.00"
Croatia,HRV,"6,313.00","6,876.00","10,468.00","9,095.00","9,505.00","12,834.00","13,842.00","18,847.00","16,135.00","15,729.00","16,328.55","15,678.51","14,604.00","11,222.10","13,720.21","13,767.99","16,874.85","17,269.05","17,114.41","19,680.31","20,442.97"
Cuba,CUB,"40,166.00","32,780.00","25,569.00","27,044.00","26,897.00","27,562.00","22,635.00","27,210.00","37,526.00","36,685.00","36,002.00","31,422.00","24,597.80","26,179.20","29,577.70","31,282.60","32,056.00","29,185.00","31,210.00","28,628.00","26,922.20"
Cyprus,CYP,"1,422.00","1,878.00","1,883.00","1,862.00","1,821.00","3,545.00","3,620.00","3,607.00","3,200.00","3,403.00","3,698.50","4,153.80","4,666.98","4,333.71","5,339.10","4,834.34","5,458.54","6,626.86","7,275.11","7,347.04","8,079.18"
Czechia,CZE,"18,775.00","19,475.00","20,098.00","19,210.00","19,670.00","19,384.00","20,455.00","20,431.00","20,447.00","20,395.00","20,071.00","20,420.00","21,010.00","20,763.00","19,357.40","20,135.00","20,200.00","20,952.00","21,685.00","21,751.00","20,986.00"
Denmark,DNK,"42,670.00","43,609.00","41,573.00","32,026.00","37,772.00","42,814.00","39,012.00","37,188.00","31,168.00","36,066.00","35,130.40","36,175.00","35,918.00","34,585.54","37,707.20","34,382.20","35,866.70","36,337.00","37,498.00","36,453.00","40,221.49"
Dominica,DMA,5.00,7.00,12.00,13.00,13.00,18.00,19.00,24.00,24.00,24.00,24.00,11.00,6.00,6.00,6.00,6.00,6.00,6.00,0.00,0.00,0.00
Dominican Republic,DOM,748.00,"2,125.00","2,647.00","3,554.00","1,944.00","2,000.00",980.00,980.00,"1,080.00","1,080.00","1,230.00","1,280.00","2,147.90","1,031.80","1,575.00","2,180.50","2,290.00","2,045.00","2,419.00","2,599.00","2,665.00"
Ecuador,ECU,"126,575.00","61,311.00","57,587.00","77,636.00","95,278.00","108,673.00","138,562.00","169,588.00","171,020.00","173,222.00","219,463.00","272,720.80","309,702.00","322,655.00","332,382.00","368,492.00","426,750.40","451,395.30","485,005.00","581,450.00","695,850.00"
Egypt,EGY,"226,276.00","340,093.00","342,864.00","376,296.00","445,181.00","471,535.00","539,748.00","595,030.00","635,516.00","693,765.00","705,490.00","919,585.00","986,820.00","1,017,738.00","1,097,544.00","1,137,091.00","1,174,831.00","1,370,660.00","1,406,864.50","1,594,231.00","1,641,949.00"
El Salvador,SLV,279.00,261.00,395.00,781.00,"1,131.00","2,219.00","2,203.00","3,078.00","3,734.00","3,817.00","4,355.71","4,499.93","4,883.70","5,322.00","3,278.00","1,663.00","6,742.71","7,955.68","11,027.63","10,913.22","9,944.05"
Equatorial Guinea,GNQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,3.00,15.00,17.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00
Estonia,EST,200.00,225.00,467.00,257.00,372.00,252.00,555.00,703.00,772.00,813.00,653.60,573.04,388.34,581.40,733.21,870.47,798.70,867.73,870.46,943.66,"1,061.97"
