Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,ALB,9.97E-05,9.94E-05,9.35E-05,0.0002818738713,0.0004846006864,0.0005183454308,0.0004891271322,0.0006873743336,0.0007043730726,0.0006785839581,0.0007914551537,0.0008650813022,0.0008071747335,0.001189490695,0.001278025016,0.001384512292,0.001213245517,0.001651541444,0.001541696987,0.002183244627,0.002207280452
Algeria,DZA,8.24E-06,1.14E-05,1.46E-05,1.51E-05,1.30E-05,1.80E-05,1.12E-05,8.61E-06,1.19E-05,8.04E-05,6.15E-05,4.90E-05,6.15E-05,7.10E-05,5.77E-05,6.40E-05,3.37E-05,4.86E-05,0.0001085971097,0.0001218407982,0.0001132286227
Angola,AGO,0,3.05E-07,6.49E-07,2.91E-06,3.97E-06,4.90E-06,6.48E-06,7.74E-06,9.09E-06,8.76E-06,1.16E-05,1.33E-05,1.28E-05,1.23E-05,2.18E-06,1.12E-05,3.10E-05,2.25E-05,4.43E-05,5.63E-05,5.98E-05
Antigua and Barbuda,ATG,6.77E-05,6.66E-05,6.56E-05,6.48E-05,6.40E-05,6.33E-05,6.26E-05,6.18E-05,6.10E-05,9.61E-05,9.46E-05,9.34E-05,0.0001383620242,0.00020530602,0.0002146965434,0.0002353310323,0.0002223679968,0.0002208383022,0.0002194931902,0.0002182786545,0.0002171151905
Argentina,ARG,3.32E-05,4.81E-05,3.58E-05,3.85E-05,4.30E-05,4.78E-05,5.26E-05,6.40E-05,7.42E-05,6.70E-05,6.35E-05,6.51E-05,7.74E-05,7.09E-05,9.06E-05,9.38E-05,8.49E-05,8.43E-05,8.10E-05,7.20E-05,5.77E-05
Armenia,ARM,0.0002772899817,0.0002818347855,0.000424814395,0.000328498501,0.0003449950747,0.0002651883963,0.0002425140602,0.000348919506,0.001214887666,0.001709446974,0.00176770471,0.001697047782,0.00215092237,0.003036623741,0.004032556865,0.00481845581,0.005256036365,0.005715960619,0.005852191662,0.00599318117,0.006225621339
Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,1.97E-05,0,0,0,0,0,4.74E-06,9.44E-06,1.41E-05
Australia,AUS,0.001573494822,0.001686023114,0.00186166312,0.001995774347,0.002024640357,0.002261758329,0.002222944282,0.002525527645,0.002781696345,0.002861476331,0.003304135466,0.003434990412,0.003431620754,0.003599663316,0.003461649232,0.003117160879,0.003488197743,0.003786418591,0.003469967862,0.003850927631,0.00358715272
Austria,AUT,0.0003837432016,0.0003553612365,0.0002975519544,0.0002886677076,0.0002749518157,0.0002774118248,0.0002941237597,0.0003027099616,0.0003060700354,0.0002507962511,0.0002566123833,0.0002591050247,0.0003460943226,0.0003707595892,0.0003817296658,0.0003966953869,0.0004053594832,0.000398710355,0.0004389736889,0.0004515118509,0.0004791754881
Azerbaijan,AZE,2.71E-05,1.74E-05,1.17E-05,9.79E-06,1.58E-05,4.21E-05,5.96E-05,7.07E-05,0.0001048792141,0.0001141109615,0.0001117662726,0.0001104443707,5.64E-05,3.94E-05,3.45E-05,3.20E-05,5.81E-05,6.56E-05,7.05E-05,4.81E-05,5.30E-05
